NFault,runTime(ms),energy,seconds(power),powerFileName
0,137668.0,30164.8,142,Quasi_0_1.csv
1,137869.0,30189.4,142,Quasi_1_1.csv
2,136736.0,29947.3,141,Quasi_2_10.csv
3,137446.0,29994.8,142,Quasi_3_3.csv
4,137193.0,30137.9,142,Quasi_4_8.csv
8,137019.0,30081.4,142,Quasi_8_4.csv
12,136680.0,30064.1,142,Quasi_12_9.csv
16,137396.0,29986.1,141,Quasi_16_7.csv
20,137428.0,30099.1,142,Quasi_20_9.csv
24,145616.0,31589.7,150,Quasi_24_2.csv
28,148140.0,32146.6,153,Quasi_28_2.csv
32,143787.0,31444.7,149,Quasi_32_9.csv
