Platform 0 : Advanced Micro Devices, Inc.
Platform found : Advanced Micro Devices, Inc.

Selected Platform Vendor : Advanced Micro Devices, Inc.
Device 0 : Cypress Device ID is 0x1c515c0
Selecting vector kernel
input length = 3200 ints
input size = 12800 bytes
Executing kernel for 1 iterations
-------------------------------------------
redundant wi = 4 
Aging enabled kernel: 
globalThreads = 6300, localThreads = 63  
faulty 2 0 
faulty 18 0 
faulty 34 0 
faulty 50 0 
degraded 2 0 
degraded 18 0 
degraded 34 0 
degraded 50 0 
faulty 2 1 
faulty 18 1 
faulty 34 1 
faulty 50 1 
degraded 2 1 
degraded 18 1 
degraded 34 1 
degraded 50 1 
faulty 2 2 
faulty 18 2 
faulty 34 2 
faulty 50 2 
degraded 2 2 
degraded 18 2 
degraded 34 2 
degraded 50 2 
faulty 2 3 
faulty 18 3 
faulty 34 3 
faulty 50 3 
degraded 2 3 
degraded 18 3 
degraded 34 3 
degraded 50 3 
faulty 2 4 
faulty 18 4 
faulty 34 4 
faulty 50 4 
degraded 2 4 
degraded 18 4 
degraded 34 4 
degraded 50 4 
faulty 2 5 
faulty 18 5 
faulty 34 5 
faulty 50 5 
degraded 2 5 
degraded 18 5 
degraded 34 5 
degraded 50 5 
faulty 2 6 
faulty 18 6 
faulty 34 6 
faulty 50 6 
degraded 2 6 
degraded 18 6 
degraded 34 6 
degraded 50 6 
faulty 2 7 
faulty 18 7 
faulty 34 7 
faulty 50 7 
degraded 2 7 
degraded 18 7 
degraded 34 7 
degraded 50 7 
faulty 2 8 
faulty 18 8 
faulty 34 8 
faulty 50 8 
degraded 2 8 
degraded 18 8 
degraded 34 8 
degraded 50 8 
faulty 2 9 
faulty 18 9 
faulty 34 9 
faulty 50 9 
degraded 2 9 
degraded 18 9 
degraded 34 9 
degraded 50 9 
faulty 2 10 
faulty 18 10 
faulty 34 10 
faulty 50 10 
degraded 2 10 
degraded 18 10 
degraded 34 10 
degraded 50 10 
faulty 2 11 
faulty 18 11 
faulty 34 11 
faulty 50 11 
degraded 2 11 
degraded 18 11 
degraded 34 11 
degraded 50 11 
faulty 2 12 
faulty 18 12 
faulty 34 12 
faulty 50 12 
degraded 2 12 
degraded 18 12 
degraded 34 12 
degraded 50 12 
faulty 2 13 
faulty 18 13 
faulty 34 13 
faulty 50 13 
degraded 2 13 
degraded 18 13 
degraded 34 13 
degraded 50 13 
faulty 2 14 
faulty 18 14 
faulty 34 14 
faulty 50 14 
degraded 2 14 
degraded 18 14 
degraded 34 14 
degraded 50 14 
faulty 2 15 
faulty 18 15 
faulty 34 15 
faulty 50 15 
degraded 2 15 
degraded 18 15 
degraded 34 15 
degraded 50 15 
faulty 2 16 
faulty 18 16 
faulty 34 16 
faulty 50 16 
degraded 2 16 
degraded 18 16 
degraded 34 16 
degraded 50 16 
faulty 2 17 
faulty 18 17 
faulty 34 17 
faulty 50 17 
degraded 2 17 
degraded 18 17 
degraded 34 17 
degraded 50 17 
faulty 2 18 
faulty 18 18 
faulty 34 18 
faulty 50 18 
degraded 2 18 
degraded 18 18 
degraded 34 18 
degraded 50 18 
faulty 2 19 
faulty 18 19 
faulty 34 19 
faulty 50 19 
degraded 2 19 
degraded 18 19 
degraded 34 19 
degraded 50 19 
faulty 2 20 
faulty 18 20 
faulty 34 20 
faulty 50 20 
degraded 2 20 
degraded 18 20 
degraded 34 20 
degraded 50 20 
faulty 2 21 
faulty 18 21 
faulty 34 21 
faulty 50 21 
degraded 2 21 
degraded 18 21 
degraded 34 21 
degraded 50 21 
faulty 2 22 
faulty 18 22 
faulty 34 22 
faulty 50 22 
degraded 2 22 
degraded 18 22 
degraded 34 22 
degraded 50 22 
faulty 2 23 
faulty 18 23 
faulty 34 23 
faulty 50 23 
degraded 2 23 
degraded 18 23 
degraded 34 23 
degraded 50 23 
faulty 2 24 
faulty 18 24 
faulty 34 24 
faulty 50 24 
degraded 2 24 
degraded 18 24 
degraded 34 24 
degraded 50 24 
faulty 2 25 
faulty 18 25 
faulty 34 25 
faulty 50 25 
degraded 2 25 
degraded 18 25 
degraded 34 25 
degraded 50 25 
faulty 2 26 
faulty 18 26 
faulty 34 26 
faulty 50 26 
degraded 2 26 
degraded 18 26 
degraded 34 26 
degraded 50 26 
faulty 2 27 
faulty 18 27 
faulty 34 27 
faulty 50 27 
degraded 2 27 
degraded 18 27 
degraded 34 27 
degraded 50 27 
faulty 2 28 
faulty 18 28 
faulty 34 28 
faulty 50 28 
degraded 2 28 
degraded 18 28 
degraded 34 28 
degraded 50 28 
faulty 2 29 
faulty 18 29 
faulty 34 29 
faulty 50 29 
degraded 2 29 
degraded 18 29 
degraded 34 29 
degraded 50 29 
faulty 2 30 
faulty 18 30 
faulty 34 30 
faulty 50 30 
degraded 2 30 
degraded 18 30 
degraded 34 30 
degraded 50 30 
faulty 2 31 
faulty 18 31 
faulty 34 31 
faulty 50 31 
degraded 2 31 
degraded 18 31 
degraded 34 31 
degraded 50 31 
faulty 2 32 
faulty 18 32 
faulty 34 32 
faulty 50 32 
degraded 2 32 
degraded 18 32 
degraded 34 32 
degraded 50 32 
faulty 2 33 
faulty 18 33 
faulty 34 33 
faulty 50 33 
degraded 2 33 
degraded 18 33 
degraded 34 33 
degraded 50 33 
faulty 2 34 
faulty 18 34 
faulty 34 34 
faulty 50 34 
degraded 2 34 
degraded 18 34 
degraded 34 34 
degraded 50 34 
faulty 2 35 
faulty 18 35 
faulty 34 35 
faulty 50 35 
degraded 2 35 
degraded 18 35 
degraded 34 35 
degraded 50 35 
faulty 2 36 
faulty 18 36 
faulty 34 36 
faulty 50 36 
degraded 2 36 
degraded 18 36 
degraded 34 36 
degraded 50 36 
faulty 2 37 
faulty 18 37 
faulty 34 37 
faulty 50 37 
degraded 2 37 
degraded 18 37 
degraded 34 37 
degraded 50 37 
faulty 2 38 
faulty 18 38 
faulty 34 38 
faulty 50 38 
degraded 2 38 
degraded 18 38 
degraded 34 38 
degraded 50 38 
faulty 2 39 
faulty 18 39 
faulty 34 39 
faulty 50 39 
degraded 2 39 
degraded 18 39 
degraded 34 39 
degraded 50 39 
faulty 2 40 
faulty 18 40 
faulty 34 40 
faulty 50 40 
degraded 2 40 
degraded 18 40 
degraded 34 40 
degraded 50 40 
faulty 2 41 
faulty 18 41 
faulty 34 41 
faulty 50 41 
degraded 2 41 
degraded 18 41 
degraded 34 41 
degraded 50 41 
faulty 2 42 
faulty 18 42 
faulty 34 42 
faulty 50 42 
degraded 2 42 
degraded 18 42 
degraded 34 42 
degraded 50 42 
faulty 2 43 
faulty 18 43 
faulty 34 43 
faulty 50 43 
degraded 2 43 
degraded 18 43 
degraded 34 43 
degraded 50 43 
faulty 2 44 
faulty 18 44 
faulty 34 44 
faulty 50 44 
degraded 2 44 
degraded 18 44 
degraded 34 44 
degraded 50 44 
faulty 2 45 
faulty 18 45 
faulty 34 45 
faulty 50 45 
degraded 2 45 
degraded 18 45 
degraded 34 45 
degraded 50 45 
faulty 2 46 
faulty 18 46 
faulty 34 46 
faulty 50 46 
degraded 2 46 
degraded 18 46 
degraded 34 46 
degraded 50 46 
faulty 2 47 
faulty 18 47 
faulty 34 47 
faulty 50 47 
degraded 2 47 
degraded 18 47 
degraded 34 47 
degraded 50 47 
faulty 2 48 
faulty 18 48 
faulty 34 48 
faulty 50 48 
degraded 2 48 
degraded 18 48 
degraded 34 48 
degraded 50 48 
faulty 2 49 
faulty 18 49 
faulty 34 49 
faulty 50 49 
degraded 2 49 
degraded 18 49 
degraded 34 49 
degraded 50 49 
faulty 2 50 
faulty 18 50 
faulty 34 50 
faulty 50 50 
degraded 2 50 
degraded 18 50 
degraded 34 50 
degraded 50 50 
faulty 2 51 
faulty 18 51 
faulty 34 51 
faulty 50 51 
degraded 2 51 
degraded 18 51 
degraded 34 51 
degraded 50 51 
faulty 2 52 
faulty 18 52 
faulty 34 52 
faulty 50 52 
degraded 2 52 
degraded 18 52 
degraded 34 52 
degraded 50 52 
faulty 2 53 
faulty 18 53 
faulty 34 53 
faulty 50 53 
degraded 2 53 
degraded 18 53 
degraded 34 53 
degraded 50 53 
faulty 2 54 
faulty 18 54 
faulty 34 54 
faulty 50 54 
degraded 2 54 
degraded 18 54 
degraded 34 54 
degraded 50 54 
faulty 2 55 
faulty 18 55 
faulty 34 55 
faulty 50 55 
degraded 2 55 
degraded 18 55 
degraded 34 55 
degraded 50 55 
faulty 2 56 
faulty 18 56 
faulty 34 56 
faulty 50 56 
degraded 2 56 
degraded 18 56 
degraded 34 56 
degraded 50 56 
faulty 2 57 
faulty 18 57 
faulty 34 57 
faulty 50 57 
degraded 2 57 
degraded 18 57 
degraded 34 57 
degraded 50 57 
faulty 2 58 
faulty 18 58 
faulty 34 58 
faulty 50 58 
degraded 2 58 
degraded 18 58 
degraded 34 58 
degraded 50 58 
faulty 2 59 
faulty 18 59 
faulty 34 59 
faulty 50 59 
degraded 2 59 
degraded 18 59 
degraded 34 59 
degraded 50 59 
faulty 2 60 
faulty 18 60 
faulty 34 60 
faulty 50 60 
degraded 2 60 
degraded 18 60 
degraded 34 60 
degraded 50 60 
faulty 2 61 
faulty 18 61 
faulty 34 61 
faulty 50 61 
degraded 2 61 
degraded 18 61 
degraded 34 61 
degraded 50 61 
faulty 2 62 
faulty 18 62 
faulty 34 62 
faulty 50 62 
degraded 2 62 
degraded 18 62 
degraded 34 62 
degraded 50 62 
faulty 2 63 
faulty 18 63 
faulty 34 63 
faulty 50 63 
degraded 2 63 
degraded 18 63 
degraded 34 63 
degraded 50 63 
faulty 2 64 
faulty 18 64 
faulty 34 64 
faulty 50 64 
degraded 2 64 
degraded 18 64 
degraded 34 64 
degraded 50 64 
faulty 2 65 
faulty 18 65 
faulty 34 65 
faulty 50 65 
degraded 2 65 
degraded 18 65 
degraded 34 65 
degraded 50 65 
faulty 2 66 
faulty 18 66 
faulty 34 66 
faulty 50 66 
degraded 2 66 
degraded 18 66 
degraded 34 66 
degraded 50 66 
faulty 2 67 
faulty 18 67 
faulty 34 67 
faulty 50 67 
degraded 2 67 
degraded 18 67 
degraded 34 67 
degraded 50 67 
faulty 2 68 
faulty 18 68 
faulty 34 68 
faulty 50 68 
degraded 2 68 
degraded 18 68 
degraded 34 68 
degraded 50 68 
faulty 2 69 
faulty 18 69 
faulty 34 69 
faulty 50 69 
degraded 2 69 
degraded 18 69 
degraded 34 69 
degraded 50 69 
faulty 2 70 
faulty 18 70 
faulty 34 70 
faulty 50 70 
degraded 2 70 
degraded 18 70 
degraded 34 70 
degraded 50 70 
faulty 2 71 
faulty 18 71 
faulty 34 71 
faulty 50 71 
degraded 2 71 
degraded 18 71 
degraded 34 71 
degraded 50 71 
faulty 2 72 
faulty 18 72 
faulty 34 72 
faulty 50 72 
